Country Name En,Unit Name,2024 value,2024 flag,2023 value,2023 flag,2022 value,2022 flag,2021 value,2021 flag,2020 value,2020 flag
Cyprus,Tonnes - live weight,1162.688,A,1223.843,A,1325.592,A,1405.849,A,1343.647,A
Czechia,Tonnes - live weight,3450.0,A,3369.0,A,3381.0,A,3314.0,A,3729.0,A
Democratic People's Republic of Korea,Tonnes - live weight,208365.0,E,208130.0,E,214320.0,E,208070.0,E,202000.0,E
Democratic Republic of the Congo,Tonnes - live weight,265975.0,E,261800.0,E,274385.0,E,261740.0,E,249275.0,E
Denmark,Tonnes - live weight,467775.089,A,495222.32,A,458346.22,A,466463.558,A,732816.0,A
Djibouti,Tonnes - live weight,3386.9,A,3185.8,A,3070.8,A,3088.9,A,2322.5,A
Dominica,Tonnes - live weight,988.0,A,519.0,A,290.0,E,287.97,A,527.0,A
Dominican Republic,Tonnes - live weight,19844.363,A,17286.0,A,17985.0,E,17666.9,A,14064.13,A
Ecuador,Tonnes - live weight,784914.818,A,694920.742,A,688925.19,A,863105.503,A,636338.622,A
Egypt,Tonnes - live weight,425501.0,A,424236.0,A,439925.0,A,424809.0,A,418239.0,A
El Salvador,Tonnes - live weight,57123.15,E,55759.063,E,60114.984,E,59352.874,A,59440.404,A
Equatorial Guinea,Tonnes - live weight,7253.452,E,7208.452,E,6610.139,E,6307.127,E,5958.271,E
Eritrea,Tonnes - live weight,2459.396,A,1861.932,A,1657.752,A,1077.716,A,1888.517,E
Estonia,Tonnes - live weight,65354.119,A,76695.234,A,73938.728,A,72235.522,A,74142.479,A
Eswatini,Tonnes - live weight,65.0,E,65.0,E,65.0,E,65.0,E,60.0,E
Ethiopia,Tonnes - live weight,255001.0,A,131400.0,A,101400.0,A,73140.0,A,60002.0,A
Falkland Islands (Malvinas),Tonnes - live weight,80548.099,A,89059.0,A,113821.0,A,108944.999,A,64725.574,A
Faroe Islands,Number,748.0,A,907.0,A,632.0,A,2089.0,A,551.0,A
Faroe Islands,Tonnes - live weight,676942.7,A,791561.4,A,605910.1,A,540630.2,A,650872.1,A
Fiji,Tonnes - live weight,34962.85,E,32179.1,E,32624.0,E,32100.002,E,37510.0,E
Finland,Number,751.0,A,655.0,A,574.0,A,698.0,A,576.0,A
Finland,Tonnes - live weight,110584.0,A,128061.0,A,125395.0,A,133282.0,A,148569.0,A
France,Tonnes - live weight,480653.078,A,475201.286,A,530975.863,A,516884.224,A,487611.9,A
French Guiana,Tonnes - live weight,1995.0,A,1833.0,A,2312.0,A,2450.0,A,1832.0,A
French Polynesia,Tonnes - live weight,13467.461,A,12625.0,A,11364.529,A,12818.802,A,11919.374,A
French Southern Territories,Tonnes - live weight,423.0,E,423.0,E,420.0,E,420.0,E,410.0,E
Gabon,Tonnes - live weight,30140.0,E,29920.775,E,30992.414,E,29820.556,E,28881.667,E
Gambia,Tonnes - live weight,55075.0,E,55455.0,E,53946.5,A,53171.99,A,50989.752,A
Georgia,Tonnes - live weight,200606.0,E,210573.0,E,198789.377,E,195576.054,E,207150.0,E
Germany,Tonnes - live weight,186393.0,A,182463.9,A,179265.2,A,189952.267,A,212094.562,A
Ghana,Tonnes - live weight,496158.661,A,384924.63,A,444841.73,A,393326.52,A,357275.51,A
Gibraltar,Tonnes - live weight,25.523,A,28.739,A,25.902,A,22.576,A,21.02,A
Greece,Tonnes - live weight,56044.1,A,62986.321,A,65494.798,A,59631.873,A,71476.001,A
Greenland,Number,66235.0,A,62424.0,A,92125.0,A,99463.0,A,97994.0,A
Greenland,Tonnes - live weight,265050.0,A,334866.648,A,307056.0,A,271028.0,A,259209.0,A
Grenada,Tonnes - live weight,2157.378,A,3743.309,A,1953.192,A,1317.066,E,1896.355,E
Guadeloupe,Tonnes - live weight,2074.0,A,2376.0,A,2354.0,A,2424.0,A,2530.0,A
Guam,Tonnes - live weight,45.637,A,61.245,A,36.974,A,26.578,A,47.067,A
Guatemala,Tonnes - live weight,14207.616,E,13324.093,A,16784.359,A,12475.203,A,13916.032,A
Guernsey,Tonnes - live weight,1160.0,E,1105.0,E,1224.0,E,1169.7,A,1081.226,A
Guinea,Tonnes - live weight,384261.0,E,414207.0,A,377833.0,A,448531.0,A,384942.0,A
Guinea-Bissau,Tonnes - live weight,54110.0,E,59495.0,E,63835.0,E,63221.0,E,62392.458,A
Guyana,Number,1154.0,A,1619.0,A,1345.0,A,1043.0,A,1337.0,A
Guyana,Tonnes - live weight,35766.0,E,36786.0,E,36253.456,E,34216.25,E,39986.9,E
Haiti,Tonnes - live weight,16430.0,E,16420.0,E,16710.0,E,16220.0,E,16350.0,E
Honduras,Tonnes - live weight,21603.652,E,20781.67,E,20193.0,E,21680.0,A,15846.0,A
Hungary,Tonnes - live weight,4744.284,A,4601.538,A,4596.812,A,4600.536,A,5483.12,A
Iceland,Tonnes - live weight,1008804.0,A,1447648.62,A,1662876.542,A,1171229.402,A,1039086.2,A
India,Tonnes - live weight,6356491.714,E,6177985.324,E,5539025.001,E,5024904.886,E,4658197.0,E
Indonesia,Number,5456.0,A,5583.0,A,2069.0,A,3501.0,A,2739.0,A
Indonesia,Tonnes - live weight,7811613.965,A,7845601.878,A,7489395.486,A,7224491.603,A,6989090.375,A
Iran (Islamic Republic of),Tonnes - live weight,789228.993,E,778278.002,E,750821.998,E,779465.744,A,790900.043,A
Iraq,Tonnes - live weight,41100.0,E,42144.464,A,44550.0,E,43679.679,E,34770.171,A
Ireland,Tonnes - live weight,245629.359,A,225134.328,A,213538.766,A,242158.918,A,216502.064,A
Isle of Man,Tonnes - live weight,3506.441,A,3467.835,A,3041.0,E,3041.323,A,2742.95,A
Israel,Tonnes - live weight,2065.0,E,2115.0,E,2080.0,E,2080.0,E,1980.0,E
Italy,Tonnes - live weight,134075.957,A,128311.143,A,143770.194,A,150775.767,A,141587.688,A
Jamaica,Tonnes - live weight,12769.824,E,12529.956,E,12529.49,E,13231.0,E,12874.92,E
Japan,Number,971.0,A,1288.0,A,1643.0,A,1553.0,A,2371.0,A
Japan,Tonnes - live weight,2847416.355,A,2981911.7,A,2979293.104,A,3239861.15,A,3267706.265,A
Jersey,Tonnes - live weight,1342.755,A,960.0,A,1066.0,E,1017.812,A,991.852,A
Jordan,Tonnes - live weight,695.0,A,665.0,E,675.0,E,665.0,E,583.945,A
Kazakhstan,Tonnes - live weight,45024.7,A,42639.642,A,50557.0,A,48960.13,A,45872.115,A
Kenya,Number,4400.0,A,5171.0,A,4745.0,A,3922.0,A,6250.0,A
Kenya,Tonnes - live weight,135393.439,A,129544.441,A,145801.459,A,141296.884,A,130165.337,A
Kiribati,Tonnes - live weight,278509.392,A,257577.802,A,211411.283,A,199348.974,A,203453.978,A
Kuwait,Tonnes - live weight,2451.0,A,2815.0,A,1886.0,A,3525.0,E,3095.0,E
Kyrgyzstan,Tonnes - live weight,32.0,E,32.0,E,31.0,A,22.0,E,20.0,E
Lao People's Democratic Republic,Tonnes - live weight,78795.0,E,76501.0,E,75000.0,E,71002.0,E,70001.0,E
Latvia,Tonnes - live weight,56367.744,A,66837.61,A,61508.0,A,61658.11,A,64989.0,A
Lebanon,Tonnes - live weight,2705.0,E,2680.0,E,2670.0,E,2630.0,E,2505.0,E
Lesotho,Tonnes - live weight,74.0,E,74.0,E,79.0,A,75.0,E,67.0,E
Liberia,Tonnes - live weight,26764.442,A,28231.843,A,29338.0,A,25169.139,A,31661.669,A
Libya,Tonnes - live weight,33098.863,E,33164.926,E,32609.874,E,32042.103,E,31904.545,E
Liechtenstein,Tonnes - live weight,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
Lithuania,Tonnes - live weight,77303.019,A,102405.414,A,106936.012,A,96152.482,A,90991.355,A
Luxembourg,Tonnes - live weight,0.0,N,0.0,N,0.0,N,0.0,N,0.0,N
Madagascar,Number,0.0,A,0.0,A,0.0,A,0.0,A,0.0,A
Madagascar,Tonnes - live weight,149869.43,E,139962.443,A,127549.669,A,114336.819,A,112552.399,A
Malawi,Tonnes - live weight,190090.0,E,212817.863,A,186865.36,A,170560.0,A,171115.22,A
Malaysia,Number,948.0,A,6860.0,A,3829.0,A,2577.0,A,1250.0,A
Malaysia,Tonnes - live weight,1404639.33,A,1286666.21,A,1322438.549,A,1338230.636,A,1391044.797,A
Maldives,Tonnes - live weight,107413.781,A,160683.193,A,155205.444,A,144993.211,A,148565.277,A
Mali,Tonnes - live weight,104178.0,A,112510.0,A,110365.91,A,105400.0,E,117690.0,A
Malta,Tonnes - live weight,1804.448,A,2013.59,A,2809.271,A,2502.896,A,2103.246,A
Marshall Islands,Tonnes - live weight,96819.389,A,73935.7,A,91636.299,A,95819.063,A,88189.912,A
