Country Name En,Unit Name,2024 value,2024 flag,2023 value,2023 flag,2022 value,2022 flag,2021 value,2021 flag,2020 value,2020 flag
Bangladesh,Number,,,,,0.0,A,0.0,A,0.0,A
Germany,Number,,,,,11.0,A,16.0,A,16.0,A
Netherlands (Kingdom of the),Number,,,,,7.0,A,14.0,A,6.0,A
New Zealand,Number,,,,,300.0,A,286.0,A,241.0,A
Panama,Number,,,,,1604.0,A,1600.0,A,1000.0,A
Peru,Number,,,,,1.0,A,,,,
Singapore,Number,,,,,1798.0,A,1836.0,A,2100.0,A
Uganda,Number,,,,,0.0,A,0.0,A,,
United Kingdom of Great Britain and Northern Ireland,Number,,,,,22.0,A,20.0,A,21.0,A
Viet Nam,Number,,,,,6411.55,A,16292.0,A,35215.0,A
Bahamas,Number,,,,,,,0.0,A,0.0,A
Ireland,Number,,,,,,,0.0,A,0.0,A
Italy,Number,,,,,,,4.0,A,6.0,A
Malawi,Number,,,,,,,5443.0,A,,
Namibia,Number,,,,,,,0.0,A,4465.0,A
Venezuela (Bolivarian Republic of),Number,,,,,,,3788.0,A,17251.0,A
Mozambique,Number,,,,,,,,,1950.0,A
